"hotel";"habitación";"precio"
"Hotel Magnolia";"Habitación Doble Superior";195453
"Mandarin Oriental, Santiago";"Habitación Deluxe - cama extragrande";170000
"The Ritz-Carlton, Santiago";"Habitación Doble Deluxe - 2 camas dobles";153420
"W Santiago";"Habitación Wonderful con vistas a la ciudad - 2 camas individuales";146415
"Hyatt Centric Las Condes Santiago";"Habitación con 2 camas grandes";132404
"NOI Vitacura";"Habitación Doble Deluxe - 2 camas";129461
"Ladera Boutique Hotel";"Habitación Doble - 2 camas";122596
"Hotel Eco Boutique Bidasoa";"Habitación Doble grande - 2 camas";115590
"Santiago Marriott Hotel";"Habitaciones Deluxe con cama extragrande";111387
"Renaissance Santiago Hotel";"Habitación Chilena / Europea - Cama extragrande";104382
"Tinto Boutique Hotel";"Habitación Doble";97726
"Holiday Inn Santiago - Airport Terminal, an IHG hotel";"Habitación Doble - 2 camas dobles";88269
"Hotel Regal Pacific Santiago";"Habitación Estándar - Cama extragrande";87954
"Hotel Director Vitacura";"Habitación Doble - 2 camas dobles";87008
"Boulevard Suites Ferrat";"Habitación Doble Superior - 1 o 2 camas";83365
"Hotel Cumbres Lastarria";"Habitación Individual Estándar ";81964
"Hotel Luciano K";"Habitación Doble Estándar - 1 o 2 camas";80563
"Sheraton Santiago Hotel & Convention Center";"Habitación Doble Clásica con vistas a la ciudad - 2 camas";79947
"Hotel Plaza San Francisco";"Habitación Doble Estándar - 2 camas ";79043
"The Singular Santiago";"Habitación Doble Estándar";78812
"Hotel Kennedy";"Habitación Estándar - Cama extragrande";78461
"Hotel Pullman Santiago Vitacura (ex Atton)";"Habitación Superior con cama extragrande";77060
"InterContinental Santiago, an IHG hotel";"Habitación Business con cama extragrande";76815
"Courtyard by Marriott Santiago Las Condes";"Habitación con cama extragrande y vistas a la ciudad";76367
"Icon Hotel";"Habitación Doble Deluxe - 2 camas";74111
"Best Western Premier Marina Las Condes";"Habitación Doble - 2 camas";73558
"AC Hotel by Marriott Santiago Costanera Center";"Habitación con 2 camas dobles";72857
"Hotel Diego de Almagro Aeropuerto";"Habitación con cama extragrande.";70055
"DoubleTree by Hilton Santiago Kennedy, Chile";"Habitación con cama extragrande.";69354
"Solace Hotel Santiago";"Habitación Superior con cama extragrande";69354
"Hyatt Place Santiago/Vitacura";"Habitación Hyatt Place con cama extragrande";68479
"NH Collection Santiago Casacostanera";"Habitación Doble Superior - 1 o 2 camas";68416
"Plaza El Bosque Ebro";"Habitación Estándar - 1 cama grande ";67274
"UGO Hotel";"Habitación Doble Estándar - 2 camas ";66552
"Four Points by Sheraton Santiago";"Habitación Deluxe con 2 camas dobles y vistas a la ciudad";66286
"Hotel Ismael";"Habitación Doble Estándar - 1 o 2 camas";66118
"Crowne Plaza Santiago, an IHG hotel";"Habitación con bañera adaptada para personas de movilidad reducida - 2 camas dobles";64499
"La Quinta by Wyndham Santiago Aeropuerto";"Habitación - 1 cama extragrande - No fumadores";63049
"hUB Providencia";"Estudio Estándar";63049
"DoubleTree by Hilton Santiago - Vitacura";"Habitación con cama extragrande.";62524
"Hilton Garden Inn Santiago Airport";"Habitación con cama extragrande.";61928
"NH Collection Plaza Santiago";"Habitación Doble Superior - 1 o 2 camas";61312
"Hotel Los Españoles Plus";"Habitación Doble Superior";60899
"Hotel Diego de Almagro Providencia";"Habitación con cama extragrande.";59547
"Hotel Libertador";"Habitación Doble Estándar - 1 o 2 camas";59547
"Novotel Santiago Providencia";"Habitación Doble Superior - 2 camas";58800
"Hotel Boutique Santiago Suite";"Habitación Individual";56044
"Hotel Ciudad de Vitoria";"Habitación Doble - 2 camas";54222
"Novotel Santiago Vitacura";"Habitación Doble Estándar con cama doble grande y sofá cama.";49600
"Hotel Diego de Almagro Santiago Centro";"Habitación Doble - 2 camas";49038
"Casona Patio Bellavista";"Habitación Individual";49038
"abba Presidente Suites Santiago";"Ejecutiva 1-2 Pers";48338
"CasaDeTodos B&B Boutique";"Habitación Doble Estándar";46523
"Novotel Santiago Las Condes (ex Atton)";"Habitación Doble Estándar con 2 camas grandes";44835
"NH Ciudad de Santiago";"Suite";44422
"Hotel Fundador";"Habitación Doble Estándar - 2 camas ";44275
"Novapark";"Habitación Doble Estándar";44275
"Hotel Altiplanico Bellas Artes";" Suite Doble";42033
"Hotel Panamericano";"Habitación Individual Executive";38460
"Hotel Plaza Ñuñoa";"Habitación Individual";37129
"Hotel Brasilia";"Suite Junior - 1 o 2 camas ";36429
"Best Western Estacion Central";"Habitación Superior - 1 cama grande";34747
"Hotel Nippon";"Habitación Individual";34607
"Ibis Santiago Providencia";"Habitación con cama grande ";31450
"Hotel Montecarlo Santiago";"Habitación Individual Estándar ";30138
"Ibis Santiago Estación Central";"Habitación Doble Estándar - 2 camas ";29750
"Hotel Willson";"Habitación Doble Estándar";28407
"Hotel Bellas Artes";"Apartamento Estudio ";28022
"Hotel Barrio Yungay";"Habitación Doble con baño privado";27952
"Hotel Plaza Londres 77";"Habitación Doble - 1 o 2 camas";25556
"Hotel Blu";"Habitación Individual con baño privado";25220
